vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.9999999999999994,True
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.9999999999999993,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9904008094544804,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9848850602282285,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9820751906810122,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.978800512913426,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9774683917762221,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9752426897796662,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9730021730928319,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9700784081616896,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9692045945479996,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.967906293916341,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,2-demethylthiocolchicine formate,GGPOJFILAXITNG-UHFFFAOYSA-N,0.9651421612866742,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9636530827755703,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,clotrimazole,VNFPBHJOKIVQEB-UHFFFAOYSA-N,0.9630814028222693,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9618916981992236,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,"(2s)-2-benzyl-4-(2,5-dimethylanilino)-4-oxobutanoic acid",UQQQUOPKAOSXDB-INIZCTEOSA-N,0.9608282076105384,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,2-demethylthiocolchicine formate,GGPOJFILAXITNG-UHFFFAOYSA-N,0.9599738548419815,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9587018074747602,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,2-demethylthiocolchicine formate,GGPOJFILAXITNG-UHFFFAOYSA-N,0.951066810075577,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.9498778992656253,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,0.9378663361267838,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9357414661267395,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.9253161658581602,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,miconazole,BYBLEWFAAKGYCD-UHFFFAOYSA-N,0.9205026987531223,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.9176789240203758,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.9112494123623714,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.91101620133683,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,chlorambucil,JCKYGMPEJWAADB-UHFFFAOYSA-N,0.910629367056738,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9041935375130592,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"2-methyl-6-phenylimidazo[2,1-b]-1,3,4-selenadiazole",RNEJEIMFVTYPKP-UHFFFAOYSA-N,0.892927844636914,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.8822236719978622,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.8798318902564747,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,papuamide b,HQVFHDUBRNXXHV-LZHJWXOHSA-N,0.8795825192862374,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,"3,6-dibromo-alpha-((dimethylamino)methyl)-9h-carbazole-9-ethanol",XUBJEDZHBUPBKL-UHFFFAOYSA-N,0.8790530244323189,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.8780052612343684,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.8690450666151758,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.8393699639243754,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8342484729920382,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,thimerosal,RTKIYNMVFMVABJ-UHFFFAOYSA-L,0.823363418671589,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,thimerosal,RTKIYNMVFMVABJ-UHFFFAOYSA-L,0.7885021471463629,False
