Run ID,1786055592
Run Date/Time,2026-08-06 16:28:02
Application Name,Echo Cherry Pick
Application Version,1.8.3
Protocol Name,Protocol 1.ecp
Sample Pick List File Name,E:\TorchCell_ECHO\20260806_sKO_dKO_Plating\TC_sKO-dKO_OD1_5nL_P1.csv
Control Pick List File Name,
Reference ID,
Order ID,
User Name,Thermo

[DETAILS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2026-08-06 17:34:39.706,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,A1,0,0,,,5,5,60.472,100,,AQ,
2026-08-06 17:34:41.539,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,F1,0,0,,,5,5,60.467,100,,AQ,
2026-08-06 17:34:41.996,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,E5,0,0,,,5,5,60.462,100,,AQ,
2026-08-06 17:34:42.406,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,I5,0,0,,,5,5,60.457,100,,AQ,
2026-08-06 17:34:42.818,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,G9,0,0,,,5,5,60.452,100,,AQ,
2026-08-06 17:34:43.228,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,J10,0,0,,,5,5,60.447,100,,AQ,
2026-08-06 17:34:43.593,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,N10,0,0,,,5,5,60.442,100,,AQ,
2026-08-06 17:34:44.005,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,N7,0,0,,,5,5,60.437,100,,AQ,
2026-08-06 17:34:44.369,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,M8,0,0,,,5,5,63.862,100,,AQ,
2026-08-06 17:34:44.754,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,L9,0,0,,,5,5,63.857,100,,AQ,
2026-08-06 17:34:45.032,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,N3,0,0,,,5,5,63.852,100,,AQ,
2026-08-06 17:34:45.533,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,M2,0,0,,,5,5,63.847,100,,AQ,
2026-08-06 17:34:45.812,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,M1,0,0,,,5,5,60.432,100,,AQ,
2026-08-06 17:34:46.202,Source[1],,384PP_AQ_SP2,C21,Destination[1],,384PP_Dest,P14,0,0,,,5,5,60.427,100,,AQ,
2026-08-06 17:34:47.023,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,O19,0,0,,,5,5,63.842,100,,AQ,
2026-08-06 17:34:47.479,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,L18,0,0,,,5,5,63.837,100,,AQ,
2026-08-06 17:34:47.848,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,F18,0,0,,,5,5,63.832,100,,AQ,
2026-08-06 17:34:48.351,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,G16,0,0,,,5,5,63.827,100,,AQ,
2026-08-06 17:34:48.672,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,D15,0,0,,,5,5,63.822,100,,AQ,
2026-08-06 17:34:49.038,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,B18,0,0,,,5,5,63.817,100,,AQ,
2026-08-06 17:34:49.410,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,B22,0,0,,,5,5,63.812,100,,AQ,
2026-08-06 17:34:49.821,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,B23,0,0,,,5,5,63.807,100,,AQ,
2026-08-06 17:34:50.100,Source[1],,384PP_AQ_SP2,A21,Destination[1],,384PP_Dest,F21,0,0,,,5,5,63.802,100,,AQ,
