Run ID,1786056160
Run Date/Time,2026-08-06 16:37:29
Application Name,Echo Cherry Pick
Application Version,1.8.3
Protocol Name,Protocol 1.ecp
Sample Pick List File Name,E:\TorchCell_ECHO\20260806_sKO_dKO_Plating\TC_sKO-dKO_OD1_5nL_P3.csv
Control Pick List File Name,
Reference ID,
Order ID,
User Name,Thermo

[DETAILS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2026-08-06 17:43:30.625,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,A1,0,0,,,5,5,60.866,100,,AQ,
2026-08-06 17:43:31.550,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,C5,0,0,,,5,5,60.861,100,,AQ,
2026-08-06 17:43:31.951,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,C7,0,0,,,5,5,57.515,100,,AQ,
2026-08-06 17:43:32.322,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,G9,0,0,,,5,5,57.51,100,,AQ,
2026-08-06 17:43:32.724,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,I10,0,0,,,5,5,57.505,100,,AQ,
2026-08-06 17:43:33.033,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,K7,0,0,,,5,5,57.5,100,,AQ,
2026-08-06 17:43:33.387,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,L6,0,0,,,5,5,60.856,100,,AQ,
2026-08-06 17:43:33.761,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,M5,0,0,,,5,5,60.851,100,,AQ,
2026-08-06 17:43:34.027,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,O4,0,0,,,5,5,60.846,100,,AQ,
2026-08-06 17:43:34.338,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,N8,0,0,,,5,5,60.841,100,,AQ,
2026-08-06 17:43:34.747,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,G6,0,0,,,5,5,60.836,100,,AQ,
2026-08-06 17:43:35.282,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,H5,0,0,,,5,5,57.495,100,,AQ,
2026-08-06 17:43:35.657,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,F4,0,0,,,5,5,57.49,100,,AQ,
2026-08-06 17:43:35.967,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,F1,0,0,,,5,5,57.485,100,,AQ,
2026-08-06 17:43:36.322,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,E10,0,0,,,5,5,60.831,100,,AQ,
2026-08-06 17:43:36.947,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,F13,0,0,,,5,5,57.48,100,,AQ,
2026-08-06 17:43:37.320,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,C14,0,0,,,5,5,57.475,100,,AQ,
2026-08-06 17:43:37.675,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,A14,0,0,,,5,5,60.826,100,,AQ,
2026-08-06 17:43:38.049,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,E18,0,0,,,5,5,60.821,100,,AQ,
2026-08-06 17:43:38.450,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,D19,0,0,,,5,5,57.47,100,,AQ,
2026-08-06 17:43:38.821,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,E20,0,0,,,5,5,57.465,100,,AQ,
2026-08-06 17:43:39.089,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,L20,0,0,,,5,5,60.816,100,,AQ,
2026-08-06 17:43:39.713,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,J18,0,0,,,5,5,60.811,100,,AQ,
2026-08-06 17:43:40.025,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,J15,0,0,,,5,5,60.806,100,,AQ,
2026-08-06 17:43:40.381,Source[1],,384PP_AQ_SP2,A11,Destination[3],,384PP_Dest,K15,0,0,,,5,5,60.801,100,,AQ,
2026-08-06 17:43:40.647,Source[1],,384PP_AQ_SP2,C11,Destination[3],,384PP_Dest,L17,0,0,,,5,5,57.46,100,,AQ,
