run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,test_mae,test_mse,test_pearson,test_r2,test_spearman,val_mae,val_mse,val_pearson,val_r2,val_spearman,val_rmse,test_rmse
21ef0fko,True,1000,sum,['one_hot_gene'],5.0,100,5,1102.0,0.03985638109242458,0.0044290744779987715,0.05558387609490533,-0.019197246147287572,0.02540845605932139,0.03153032275989394,0.0019535767150301174,0.060632427704133005,-0.1462017237133566,0.29088533942385636,0.044199284100877895,0.06655129208361601
gzz93v3z,True,1000,sum,['one_hot_gene'],5.0,200,5,2200.0,0.039844866028602134,0.004443431173137586,0.020054369067227577,-0.022500939553650845,-0.043940620631196046,0.031226736228873817,0.0018915604977203504,0.051597888814213295,-0.1098155942966057,0.2025913421621854,0.043492073964348385,0.06665906669866888
ykfjn1an,True,1000,sum,['one_hot_gene'],5.0,500,5,5504.0,0.039800772363657005,0.004443874560414103,0.03496930391830671,-0.022602969694134337,0.026507114472360142,0.03139657303406605,0.0019236650522120632,0.05385630203727374,-0.12865196525370082,0.17201762110144014,0.043859606156599985,0.0666623923994189
k9jciqgq,True,1000,sum,['one_hot_gene'],5.0,100,10,1100.0,0.03970029627448881,0.004426626675785823,0.081155554234214,-0.018633969714041188,0.13840471409503863,0.031211609948438936,0.001914776265972288,0.06670842750706099,-0.12343674026081251,0.297899280985209,0.043758156565059825,0.06653289919871087
xsy1yojf,True,1000,sum,['one_hot_gene'],5.0,200,10,2200.0,0.03984448281429419,0.004440856953252897,0.02313672140321064,-0.021908572495818342,-0.0266846314723471,0.03158376194341456,0.0019221426041513515,0.05675789541372071,-0.12775871515605886,0.22604225626214408,0.0438422467963419,0.06663975505096711
veym16lu,True,1000,sum,['one_hot_gene'],5.0,500,10,5500.0,0.039813767334824696,0.004442237036581273,0.02742506153884033,-0.02222615061168032,0.020829547850596306,0.031231323819147304,0.001906476225115831,0.05856686874021982,-0.1185669437161625,0.2766332327677336,0.043663213637063304,0.06665010905153324
noiclqhn,True,1000,sum,['one_hot_gene'],10.0,100,2,2630.0,0.03968681212403507,0.004442299835065354,0.07063182463527498,-0.022240601495799428,0.010046068882254882,0.03146330952534972,0.001989622656905329,0.06504124375571224,-0.16735058384890666,0.1318363456241082,0.044605186435047316,0.06665058015550468
tk0sj8dd,True,1000,sum,['one_hot_gene'],10.0,200,2,5208.0,0.03957976139435327,0.004428339641319328,0.1197242545763202,-0.01902814907660688,0.035046456526090175,0.031239324207384244,0.0019837967230782903,0.07318706532836153,-0.16393239435912843,0.29533510601313506,0.04453983299338122,0.0665457710250571
5cex6nd3,True,1000,sum,['one_hot_gene'],10.0,500,2,12974.0,0.03961345910530633,0.0044381207066956415,0.09379936024182016,-0.021278920641963017,0.1288057267525783,0.03131163389906827,0.001999983472604104,0.0661970882681137,-0.17342947735825587,0.2256267194644392,0.044721174767710474,0.0666192217509004
fpojd6h4,True,1000,sum,['one_hot_gene'],5.0,100,2,1196.0,0.039921776573322194,0.004445568661126213,0.021317622009611147,-0.022992807975034113,0.016587508877822087,0.0313593720752315,0.001867549030104276,0.04977203459238313,-0.09572759592997504,0.21109771036732372,0.043215148155528474,0.06667509775865509
a8aw4cdw,True,1000,sum,['one_hot_gene'],5.0,200,2,2342.0,0.03984663706346395,0.004445761450624226,0.025521852698755513,-0.023037171764000774,-0.03959351606111703,0.031298289822924256,0.001907387430116441,0.05507350036528644,-0.11910156553793172,0.2618984106098896,0.043673646860737894,0.06667654348137901
b3y8nuyk,True,1000,sum,['one_hot_gene'],5.0,500,2,5914.0,0.0398236759253744,0.00444135472766483,0.041410553231215584,-0.02202311794145606,0.08501399311620794,0.031243585317999773,0.0019051132383694,0.05552596774265793,-0.117767252695002,0.28442168393395706,0.043647602893737474,0.06664348976205275
