orf,gene,chrom,chrom_idx,pos,n_exp,mean_sens,median_sens,std_sens,min_sens,frac_hyper_3,frac_hyper_4,frac_hyper_5,frac_resist_3,frac_resist_4,frac_resist_5,assay,whi2_corr,whi2_overlap,cum_pos
YAL001C,TFC3,I,1.0,149300.0,2956,-0.04746224758692522,-0.00124743455437475,0.6441015871283436,-4.87079328711207,0.0020297699594046007,0.00033829499323410016,0.0,0.00033829499323410016,0.0,0.0,HIP,-0.017401890041922555,2956,149300.0
YAL002W,VPS8,I,1.0,145619.0,2956,0.014516303501724961,0.0087923828406129,1.4106785610359351,-7.69152315880585,0.03721244925575101,0.011840324763193504,0.0040595399188092015,0.02807848443843031,0.009472259810554804,0.004397834912043302,HIP,-0.006892976567698701,2956,145619.0
YAL003W,EFB1,I,1.0,142213.5,2956,0.11286509596739698,0.0263908184798551,0.8307478705666766,-20.536720947987,0.0013531799729364006,0.0010148849797023004,0.0006765899864682003,0.0006765899864682003,0.0,0.0,HIP,-0.058894344842080414,2956,142213.5
YAL004W,YAL004W,I,1.0,141083.5,2956,-0.12193899789921843,-0.00566604621126135,1.4038360935682312,-6.25378721892265,0.043640054127198916,0.015899864682002707,0.004736129905277402,0.02198917456021651,0.0037212449255751017,0.00033829499323410016,HIP,-0.27740690955892433,2956,141083.5
YAL005C,SSA1,I,1.0,140467.0,2956,-1.5430398356265413,-0.07894097942557671,5.373362767190593,-29.2580915669493,0.2104194857916103,0.18437077131258459,0.16373477672530445,0.09269282814614344,0.06529093369418133,0.04262516914749662,HIP,0.17292733974147817,2956,140467.0
YAL007C,ERP2,I,1.0,138021.5,2956,-0.04785701155987812,0.0012596968092046502,0.904522384349932,-5.38384117465006,0.008795669824086604,0.0016914749661705007,0.00033829499323410016,0.0020297699594046007,0.0,0.0,HIP,-0.06932296534851243,2956,138021.5
YAL008W,FUN14,I,1.0,137212.0,2956,-0.039252959555779295,0.0003149901901703,1.1087522431671981,-6.64738387606494,0.017591339648173207,0.0040595399188092015,0.0016914749661705007,0.011840324763193504,0.0006765899864682003,0.00033829499323410016,HIP,-0.23317407044567767,2956,137212.0
YAL009W,SPO7,I,1.0,136243.5,2956,-0.08330059926855052,-0.0077045961559429,0.789907076483146,-4.74862735166146,0.004736129905277402,0.0010148849797023004,0.0,0.00033829499323410016,0.0,0.0,HIP,0.11564802923780539,2956,136243.5
YAL010C,MDM10,I,1.0,134924.5,2956,-0.06534856041657518,-0.01156117354835675,0.7164353526957796,-3.37601759559125,0.0016914749661705007,0.0,0.0,0.0020297699594046007,0.0,0.0,HIP,0.12453568788769319,2956,134924.5
YAL011W,SWC3,I,1.0,133137.5,2956,-0.4562634136923906,-0.03655671744874845,2.486438871868415,-19.8068084503518,0.12787550744248985,0.08795669824086604,0.05649526387009472,0.05040595399188092,0.03213802435723951,0.01725304465493911,HIP,0.045521857406182836,2956,133137.5
YAL012W,CYS3,I,1.0,131391.0,2956,-0.11479854104361059,-0.01067448582729575,0.9110720790637699,-4.51476551049263,0.008795669824086604,0.0010148849797023004,0.0,0.0016914749661705007,0.0,0.0,HIP,0.1433429498928655,2956,131391.0
YAL013W,DEP1,I,1.0,129878.5,2956,-0.15213624604648515,-0.0177425417148233,0.980103181587711,-8.14468967884913,0.015899864682002707,0.0037212449255751017,0.0016914749661705007,0.0027063599458728013,0.00033829499323410016,0.00033829499323410016,HIP,0.12254164295656764,2956,129878.5
YAL014C,SYN8,I,1.0,128635.5,2956,-0.19509436820253323,-0.023662328254566253,0.9293773558362706,-5.11406529396114,0.013193504736129905,0.0013531799729364006,0.00033829499323410016,0.0013531799729364006,0.0,0.0,HIP,0.12913469482278322,2956,128635.5
YAL015C,NTG1,I,1.0,127502.5,2956,-0.11263049841841401,-0.0063291321478301,1.0310725633280406,-5.40863032412533,0.010487144790257105,0.0010148849797023004,0.00033829499323410016,0.003044654939106901,0.0006765899864682003,0.0,HIP,-0.18609173248422706,2956,127502.5
