orf,gene,chrom,chrom_idx,pos,n_exp,mean_sens,median_sens,std_sens,min_sens,frac_hyper_3,frac_hyper_4,frac_hyper_5,frac_resist_3,frac_resist_4,frac_resist_5,assay,whi2_corr,whi2_overlap,cum_pos
YAL001C,TFC3,I,1.0,149300.0,2889,-0.14037349985706957,-0.0062980971239501,1.2385237793928077,-32.4996581996827,0.016614745586708203,0.007268951194184839,0.0024229837313949464,0.0024229837313949464,0.00034614053305642093,0.00034614053305642093,HOP,0.034875658723660136,2889,149300.0
YAL002W,VPS8,I,1.0,145619.0,2923,-0.6036482854302205,-0.0095200263938624,3.1233256721989475,-31.2251017222246,0.11289770783441669,0.08347588094423537,0.06260691070817653,0.035579883681149505,0.016763599042080055,0.008210742387957578,HOP,0.3330347621156967,2923,145619.0
YAL004W,YAL004W,I,1.0,141083.5,2923,-0.07711087276059901,-0.0151282080317053,0.5086317808909694,-3.8456535590574,0.0010263427984946972,0.0,0.0,0.0,0.0,0.0,HOP,-0.14020353138179262,2923,141083.5
YAL005C,SSA1,I,1.0,140467.0,2923,-0.06556945744351939,-0.0106619411054768,0.5708847383477849,-2.53369181203629,0.0,0.0,0.0,0.0,0.0,0.0,HOP,-0.12693703968316405,2923,140467.0
YAL007C,ERP2,I,1.0,138021.5,2923,-0.066951500807561,-0.0121720755610836,0.5642236134772761,-2.67868901688286,0.0,0.0,0.0,0.0,0.0,0.0,HOP,-0.10111673256144345,2923,138021.5
YAL008W,FUN14,I,1.0,137212.0,2923,-0.03246277435983594,0.000138406036512,0.7829120971968462,-4.06724894944599,0.0034211426616489907,0.00034211426616489907,0.0,0.00034211426616489907,0.0,0.0,HOP,-0.10541587372495312,2923,137212.0
YAL009W,SPO7,I,1.0,136243.5,2923,-0.980648612540356,-0.085790107661616,2.9170773118683573,-29.7843597513382,0.1508723913787205,0.108450222374273,0.07902839548409168,0.02565856996236743,0.010263427984946972,0.0023947998631542937,HOP,0.22264625538071564,2923,136243.5
YAL010C,MDM10,I,1.0,134924.5,2486,-0.011107400488653708,0.059589680810952395,2.479540473349305,-21.6879378130288,0.07361222847948512,0.05229283990345937,0.04022526146419952,0.0752212389380531,0.04102976669348351,0.016090104585679808,HOP,-0.11046458820305464,2486,134924.5
YAL011W,SWC3,I,1.0,133137.5,2923,-0.38355948827307357,0.0167310083753782,2.8305269906260344,-27.6561465777094,0.11768730756072528,0.08621279507355457,0.06329113924050633,0.06055422511118714,0.027369141293191925,0.007184399589462881,HOP,0.19658713570325298,2923,133137.5
YAL012W,CYS3,I,1.0,131391.0,930,-2.8891172072166067,-0.602688841033284,5.149659031847151,-23.9634316306824,0.2978494623655914,0.26559139784946234,0.23870967741935484,0.024731182795698924,0.015053763440860216,0.008602150537634409,HOP,-0.0523418532238304,930,131391.0
YAL013W,DEP1,I,1.0,129878.5,2923,-0.08099231274470346,0.0257854378345014,1.8874085912717125,-14.7801698669947,0.057475196715703045,0.0369483407458091,0.026342798494697228,0.03010605542251112,0.011973999315771467,0.004447485460143688,HOP,0.05871792067486948,2923,129878.5
YAL014C,SYN8,I,1.0,128635.5,2923,-0.07303015637743474,-0.0032820948377609,0.7763461689497786,-11.907818245665,0.007184399589462881,0.0027369141293191925,0.0020526855969893944,0.0,0.0,0.0,HOP,0.23989915225759487,2923,128635.5
YAL015C,NTG1,I,1.0,127502.5,2923,-0.05472451835727107,0.0256054245578206,1.4026672569952219,-10.2969853209994,0.0383167978104687,0.021211084502223743,0.013000342114266164,0.009237085186452275,0.0010263427984946972,0.0,HOP,-0.023353077464504247,2923,127502.5
YAL017W,PSK1,I,1.0,122260.0,2923,0.04591751708685783,0.0137363431183576,0.6958078145389636,-3.14256581384473,0.0013684570646595963,0.0,0.0,0.00034211426616489907,0.0,0.0,HOP,0.023382922210596336,2923,122260.0
YAL018C,LDS1,I,1.0,119052.5,2923,0.03200030543126354,0.0112648272182132,0.7406169731377682,-3.76640440875892,0.0017105713308244953,0.0,0.0,0.0010263427984946972,0.0,0.0,HOP,-0.0008484685223559,2923,119052.5
YAL019W,FUN30,I,1.0,116616.5,2923,0.03199165071102337,0.0142290327010034,0.9239252837296127,-5.35575225935663,0.007184399589462881,0.0013684570646595963,0.00034211426616489907,0.00376325692781389,0.0006842285323297981,0.00034211426616489907,HOP,0.15261643970133493,2923,116616.5
YAL020C,ATS1,I,1.0,114114.5,2923,0.5048764877503998,0.166322927763796,1.3119661085374263,-8.0494385406923,0.013342456380431064,0.004789599726308587,0.0017105713308244953,0.04379062606910708,0.01505302771125556,0.0023947998631542937,HOP,0.0763316624693188,2923,114114.5
YAL021C,CCR4,I,1.0,112102.5,2923,-2.074727192465861,-0.42385054363917,4.2241913650057805,-33.6957068856376,0.2856654122476907,0.22579541566883338,0.18029421826890182,0.034553540882654804,0.020184741703729046,0.011631885049606569,HOP,0.36033094882418265,2923,112102.5
YAL022C,FUN26,I,1.0,109653.5,2923,-0.02348253520220196,0.002385087047802,0.4798373510740322,-4.50902829829761,0.00034211426616489907,0.00034211426616489907,0.0,0.00034211426616489907,0.00034211426616489907,0.0,HOP,-0.0001329883963878459,2923,109653.5
YAL023C,PMT2,I,1.0,107411.5,2923,-0.47295264463889874,-0.0032212603043387,2.5903299353254896,-18.2260881327897,0.12452959288402327,0.08142319534724599,0.058159425248032845,0.04515908313376668,0.019842627437564146,0.007184399589462881,HOP,-0.051609388055920725,2923,107411.5
