gene,total_interactions,extreme_interactions,enrichment_fraction
YPL261C,10,2,0.2
YLR261C,9,1,0.1111111111111111
YDR157W,9,1,0.1111111111111111
YDR525W,9,1,0.1111111111111111
YLR111W,9,1,0.1111111111111111
YOR183W,9,1,0.1111111111111111
YDR248C,9,1,0.1111111111111111
YLR407W,9,1,0.1111111111111111
YLR267W,9,1,0.1111111111111111
YHR022C,10,1,0.1
YCR006C,10,1,0.1
YGL007W,10,1,0.1
YMR206W,10,1,0.1
YHR130C,10,1,0.1
YNL140C,11,1,0.09090909090909091
YPR064W,11,1,0.09090909090909091
YFL019C,11,1,0.09090909090909091
YLR049C,11,1,0.09090909090909091
YGL149W,11,1,0.09090909090909091
YPR038W,11,1,0.09090909090909091
YFL054C,11,1,0.09090909090909091
YBL095W,11,1,0.09090909090909091
YJR115W,1065,51,0.04788732394366197
YPR078C,541,11,0.02033271719038817
YJL147C,517,9,0.017408123791102514
YDR067C,542,8,0.014760147601476014
YCR095C,838,12,0.014319809069212411
YLR177W,1075,15,0.013953488372093023
YBL059W,1363,19,0.013939838591342627
YPL071C,292,4,0.0136986301369863
YDR391C,281,3,0.010676156583629894
YKL121W,1084,9,0.008302583025830259
YHL015W-A,519,4,0.007707129094412331
YHL029C,823,6,0.007290400972053463
YOL024W,1108,8,0.007220216606498195
YMR126C,279,2,0.007168458781362007
YOR268C,528,3,0.005681818181818182
YPR157W,1091,6,0.005499541704857928
YKL133C,1100,6,0.005454545454545455
YOL131W,1121,6,0.0053523639607493305
YGR174W-A,499,2,0.004008016032064128
YNL042W-B,525,2,0.0038095238095238095
YDR210W,556,2,0.0035971223021582736
YHR078W,278,1,0.0035971223021582736
YML020W,285,1,0.0035087719298245615
YJR124C,318,1,0.0031446540880503146
YGR035C,1021,3,0.002938295788442703
YJR015W,1047,3,0.0028653295128939827
YER158C,1073,3,0.0027958993476234857
YJL181W,1101,3,0.0027247956403269754
YJR030C,1101,3,0.0027247956403269754
YMR310C,1111,3,0.0027002700270027003
YOR338W,1116,3,0.002688172043010753
YPL077C,1045,2,0.0019138755980861245
YDR222W,1052,2,0.0019011406844106464
YLR225C,1052,2,0.0019011406844106464
YLR031W,1053,2,0.001899335232668566
YML082W,1079,2,0.0018535681186283596
YGR273C,1111,2,0.0018001800180018
YLR046C,1069,1,0.0009354536950420954
YHR131C,1086,1,0.0009208103130755065
YNL144C,1087,1,0.0009199632014719411
YEL025C,1087,1,0.0009199632014719411
YNL195C,1093,1,0.0009149130832570906
YJR039W,1097,1,0.0009115770282588879
YLR456W,1122,1,0.00089126559714795
YPR172W,1124,1,0.0008896797153024911
YGL082W,1347,1,0.0007423904974016332
