idx,num_genes,genes,num_uncharacterized,uncharacterized_genes,gene_interaction,p_value,abs_score
134732,3,"YGR071C,YHR021W-A,YLR373C",1,YHR021W-A,0.20472200214862823,0.287200003862381,0.20472200214862823
50,3,"YDR334W,YGR283C,YMR310C",1,YMR310C,0.10149099677801132,0.3944000005722046,0.10149099677801132
686,3,"YGR283C,YKR093W,YMR310C",1,YMR310C,-0.15927599370479584,0.29840001463890076,0.15927599370479584
1888,3,"YGR283C,YML017W,YMR310C",1,YMR310C,-0.1037369966506958,0.2799000144004822,0.1037369966506958
1981,3,"YGR283C,YMR310C,YPR020W",1,YMR310C,-0.12183800339698792,0.41780000925064087,0.12183800339698792
4941,3,"YDR052C,YGR283C,YMR310C",1,YMR310C,-0.16670699417591095,0.2800000011920929,0.16670699417591095
5878,3,"YBR283C,YGR283C,YMR310C",1,YMR310C,-0.13208399713039398,0.3571999967098236,0.13208399713039398
6467,3,"YGR283C,YMR310C,YNL118C",1,YMR310C,0.11020500212907791,8.299999899463728e-05,0.11020500212907791
7180,3,"YGR283C,YJL020C,YMR310C",1,YMR310C,-0.21220199763774872,0.47519999742507935,0.21220199763774872
10945,3,"YGR283C,YIL048W,YMR310C",1,YMR310C,-0.23328499495983124,0.376800000667572,0.23328499495983124
11283,3,"YGR283C,YMR026C,YMR310C",1,YMR310C,-0.10322000086307526,0.48330000042915344,0.10322000086307526
12338,3,"YGR283C,YMR310C,YOR069W",1,YMR310C,-0.17901599407196045,0.30959999561309814,0.17901599407196045
14305,3,"YGR283C,YMR310C,YNL006W",1,YMR310C,-0.13492700457572937,0.4327000081539154,0.13492700457572937
14812,3,"YGR283C,YLR264W,YMR310C",1,YMR310C,-0.13802100718021393,0.08432000130414963,0.13802100718021393
15413,3,"YBL085W,YGR283C,YMR310C",1,YMR310C,0.10506000369787216,0.3659999966621399,0.10506000369787216
15828,3,"YGR283C,YMR310C,YOR109W",1,YMR310C,0.12259099632501602,0.1712999939918518,0.12259099632501602
16463,3,"YGR283C,YKL006W,YMR310C",1,YMR310C,0.15971499681472778,0.262800008058548,0.15971499681472778
17002,3,"YGR283C,YMR310C,YPL226W",1,YMR310C,0.34297600388526917,1.3490000128513202e-05,0.34297600388526917
18037,3,"YCL016C,YGR283C,YMR310C",1,YMR310C,0.13141000270843506,0.3285999894142151,0.13141000270843506
23363,3,"YGL233W,YGR283C,YMR310C",1,YMR310C,0.13659200072288513,0.24889999628067017,0.13659200072288513
23964,3,"YGR283C,YMR310C,YPR065W",1,YMR310C,0.10702399909496307,0.17249999940395355,0.10702399909496307
25061,3,"YGR283C,YML041C,YMR310C",1,YMR310C,0.12672600150108337,0.4368000030517578,0.12672600150108337
25914,3,"YGR283C,YLR337C,YMR310C",1,YMR310C,-0.20679999887943268,0.4108000099658966,0.20679999887943268
25988,3,"YGR283C,YIL133C,YMR310C",1,YMR310C,0.10065899789333344,0.4796999990940094,0.10065899789333344
27841,3,"YGR283C,YMR310C,YPL196W",1,YMR310C,-0.10724200308322906,0.20970000326633453,0.10724200308322906
29312,3,"YDL074C,YGR283C,YMR310C",1,YMR310C,-0.10193700343370438,0.4300999939441681,0.10193700343370438
31032,3,"YGR283C,YLL048C,YMR310C",1,YMR310C,0.11494500190019608,0.487199991941452,0.11494500190019608
31455,3,"YGR283C,YMR310C,YPL128C",1,YMR310C,0.15186600387096405,0.46070000529289246,0.15186600387096405
33330,3,"YDR108W,YGR283C,YMR310C",1,YMR310C,0.10622899979352951,0.46970000863075256,0.10622899979352951
38171,3,"YGR283C,YMR310C,YNL051W",1,YMR310C,0.11396300047636032,0.25769999623298645,0.11396300047636032
41587,3,"YCR031C,YGR283C,YMR310C",1,YMR310C,0.12726399302482605,0.45080000162124634,0.12726399302482605
42050,3,"YDR217C,YGR283C,YMR310C",1,YMR310C,-0.14766700565814972,0.42239999771118164,0.14766700565814972
43042,3,"YDR479C,YGR283C,YMR310C",1,YMR310C,0.17964999377727509,0.2827000021934509,0.17964999377727509
43763,3,"YGR283C,YMR310C,YOR007C",1,YMR310C,0.16279299557209015,0.2851000130176544,0.16279299557209015
46285,3,"YDR449C,YGR283C,YMR310C",1,YMR310C,0.13107700645923615,0.3321000039577484,0.13107700645923615
46624,3,"YBR211C,YGR283C,YMR310C",1,YMR310C,-0.10429800301790237,0.22599999606609344,0.10429800301790237
48562,3,"YGR283C,YJR076C,YMR310C",1,YMR310C,0.24486200511455536,0.43849998712539673,0.24486200511455536
50159,3,"YBR019C,YGR283C,YMR310C",1,YMR310C,0.10277800261974335,0.07461000233888626,0.10277800261974335
50948,3,"YGR283C,YKR026C,YMR310C",1,YMR310C,-0.1307930052280426,0.4092000126838684,0.1307930052280426
52171,3,"YGR283C,YLR088W,YMR310C",1,YMR310C,-0.17631599307060242,0.25679999589920044,0.17631599307060242
53052,3,"YER098W,YGR283C,YMR310C",1,YMR310C,-0.3207089900970459,0.07005000114440918,0.3207089900970459
55217,3,"YGR092W,YGR283C,YMR310C",1,YMR310C,0.14228999614715576,0.38769999146461487,0.14228999614715576
55574,3,"YGR283C,YKR019C,YMR310C",1,YMR310C,-0.17938999831676483,0.2596000134944916,0.17938999831676483
59849,3,"YGL163C,YGR283C,YMR310C",1,YMR310C,-0.12716400623321533,0.33820000290870667,0.12716400623321533
60417,3,"YGR283C,YIL090W,YMR310C",1,YMR310C,-0.3775489926338196,0.1492999941110611,0.3775489926338196
60983,3,"YGR283C,YML095C,YMR310C",1,YMR310C,0.19962799549102783,0.4474000036716461,0.19962799549102783
62951,3,"YGR283C,YHR030C,YMR310C",1,YMR310C,0.13963299989700317,0.3555000126361847,0.13963299989700317
64357,3,"YER151C,YGR283C,YMR310C",1,YMR310C,-0.1739950031042099,0.15410000085830688,0.1739950031042099
64399,3,"YGR283C,YKL056C,YMR310C",1,YMR310C,0.14543400704860687,0.48010000586509705,0.14543400704860687
64632,3,"YGR283C,YMR310C,YPL161C",1,YMR310C,-0.1200219988822937,0.18539999425411224,0.1200219988822937
67977,3,"YGR283C,YJR074W,YMR310C",1,YMR310C,-0.2569600045681,0.263700008392334,0.2569600045681
69804,3,"YGR283C,YHR034C,YMR310C",1,YMR310C,0.1040399968624115,0.2994999885559082,0.1040399968624115
70883,3,"YGR283C,YMR310C,YPL213W",1,YMR310C,0.22169099748134613,0.32190001010894775,0.22169099748134613
71057,3,"YGR283C,YMR310C,YPR120C",1,YMR310C,0.18168599903583527,0.41850000619888306,0.18168599903583527
72996,3,"YGR283C,YJR064W,YMR310C",1,YMR310C,-0.1917569935321808,0.1535000056028366,0.1917569935321808
74505,3,"YDL076C,YGR283C,YMR310C",1,YMR310C,-0.12653900682926178,0.476500004529953,0.12653900682926178
77088,3,"YGR283C,YMR093W,YMR310C",1,YMR310C,-0.11254499852657318,0.1371999979019165,0.11254499852657318
78645,3,"YGR283C,YLR363C,YMR310C",1,YMR310C,0.17868100106716156,0.25040000677108765,0.17868100106716156
