dataset,lo,hi,count,frac
kemmeren2014_single,2.75,2.8000000000000003,131,1.4309439554961137e-05
kemmeren2014_single,2.8000000000000003,2.85,117,1.278018647275155e-05
kemmeren2014_single,2.85,2.9000000000000004,137,1.496483373305096e-05
kemmeren2014_single,2.9000000000000004,2.95,102,1.1141701027526992e-05
kemmeren2014_single,2.95,3.0,105,1.1469398116571903e-05
sameith2015_single,0.0,0.05,94350,0.18651479268885734
sameith2015_single,0.05,0.1,62700,0.12394782725587022
sameith2015_single,0.1,0.15000000000000002,38312,0.0757366691838421
sameith2015_single,0.15000000000000002,0.2,22499,0.04447690853955062
sameith2015_single,0.2,0.25,13004,0.025706818909654486
sameith2015_single,0.25,0.30000000000000004,7799,0.015417370092002104
sameith2015_single,0.30000000000000004,0.35000000000000003,4697,0.009285214427764314
sameith2015_single,0.35000000000000003,0.4,2963,0.005857374994563692
sameith2015_single,0.4,0.45,1986,0.00392600294944431
sameith2015_single,0.45,0.5,1391,0.002749783536091156
sameith2015_single,0.5,0.55,1020,0.002016376137176836
sameith2015_single,0.55,0.6000000000000001,790,0.0015617030866369613
sameith2015_single,0.6000000000000001,0.65,637,0.0012592466660604359
sameith2015_single,0.65,0.7000000000000001,481,0.0009508597274333904
sameith2015_single,0.7000000000000001,0.75,415,0.0008203883303219481
sameith2015_single,0.75,0.8,347,0.000685963254510159
sameith2015_single,0.8,0.8500000000000001,255,0.000504094034294209
sameith2015_single,0.8500000000000001,0.9,214,0.0004230436209371009
sameith2015_single,0.9,0.9500000000000001,220,0.00043490465703814113
sameith2015_single,0.9500000000000001,1.0,177,0.00034990056498068625
sameith2015_single,1.0,1.05,169,0.0003340858501792993
sameith2015_single,1.05,1.1,120,0.00023722072202080426
sameith2015_single,1.1,1.1500000000000001,114,0.00022535968591976406
sameith2015_single,1.1500000000000001,1.2000000000000002,88,0.00017396186281525645
sameith2015_single,1.2000000000000002,1.25,94,0.00018582289891629666
sameith2015_single,1.25,1.3,75,0.00014826295126300267
sameith2015_single,1.3,1.35,69,0.00013640191516196246
sameith2015_single,1.35,1.4000000000000001,76,0.00015023979061317604
sameith2015_single,1.4000000000000001,1.4500000000000002,54,0.00010674932490936191
sameith2015_single,1.4500000000000002,1.5,58,0.00011465668231005539
sameith2015_single,1.5,1.55,50,9.884196750866843e-05
sameith2015_single,1.55,1.6,43,8.500409205745485e-05
sameith2015_single,1.6,1.6500000000000001,33,6.523569855572117e-05
sameith2015_single,1.6500000000000001,1.7000000000000002,39,7.709673465676138e-05
sameith2015_single,1.7000000000000002,1.75,29,5.7328341155027694e-05
sameith2015_single,1.75,1.8,29,5.7328341155027694e-05
sameith2015_single,1.8,1.85,21,4.151362635364075e-05
sameith2015_single,1.85,1.9000000000000001,15,2.9652590252600533e-05
sameith2015_single,1.9000000000000001,1.9500000000000002,20,3.9536787003467375e-05
sameith2015_single,1.9500000000000002,2.0,23,4.5467305053987486e-05
sameith2015_single,2.0,2.0500000000000003,24,4.744414440416085e-05
sameith2015_single,2.0500000000000003,2.1,16,3.16294296027739e-05
sameith2015_single,2.1,2.15,16,3.16294296027739e-05
sameith2015_single,2.15,2.2,7,1.3837875451213582e-05
sameith2015_single,2.2,2.25,19,3.755994765329401e-05
sameith2015_single,2.25,2.3000000000000003,3,5.9305180505201064e-06
sameith2015_single,2.3000000000000003,2.35,11,2.1745232851907057e-05
sameith2015_single,2.35,2.4000000000000004,11,2.1745232851907057e-05
sameith2015_single,2.4000000000000004,2.45,7,1.3837875451213582e-05
sameith2015_single,2.45,2.5,8,1.581471480138695e-05
sameith2015_single,2.5,2.5500000000000003,5,9.884196750866844e-06
sameith2015_single,2.5500000000000003,2.6,3,5.9305180505201064e-06
sameith2015_single,2.6,2.6500000000000004,4,7.907357400693475e-06
sameith2015_single,2.6500000000000004,2.7,9,1.779155415156032e-05
sameith2015_single,2.7,2.75,8,1.581471480138695e-05
sameith2015_single,2.75,2.8000000000000003,8,1.581471480138695e-05
sameith2015_single,2.8000000000000003,2.85,6,1.1861036101040213e-05
sameith2015_single,2.85,2.9000000000000004,8,1.581471480138695e-05
sameith2015_single,2.9000000000000004,2.95,2,3.953678700346737e-06
sameith2015_single,2.95,3.0,5,9.884196750866844e-06
sameith2015_double,0.0,0.05,68614,0.15447758505790601
sameith2015_double,0.05,0.1,49413,0.111248446533744
sameith2015_double,0.1,0.15000000000000002,33419,0.07523954899947767
sameith2015_double,0.15000000000000002,0.2,22167,0.049906792024639324
sameith2015_double,0.2,0.25,14324,0.03224905891464491
sameith2015_double,0.25,0.30000000000000004,9448,0.02127123070549882
sameith2015_double,0.30000000000000004,0.35000000000000003,6345,0.014285135354190306
sameith2015_double,0.35000000000000003,0.4,4541,0.010223609084850777
sameith2015_double,0.4,0.45,3183,0.007166207380990977
sameith2015_double,0.45,0.5,2309,0.005198483456710074
sameith2015_double,0.5,0.55,1824,0.004106554276760144
sameith2015_double,0.55,0.6000000000000001,1370,0.0030844185083121704
sameith2015_double,0.6000000000000001,0.65,1113,0.0025058086129572596
sameith2015_double,0.65,0.7000000000000001,1034,0.002327947983645828
sameith2015_double,0.7000000000000001,0.75,717,0.00161425406602907
sameith2015_double,0.75,0.8,682,0.0015354550530429928
sameith2015_double,0.8,0.8500000000000001,573,0.0012900524126006375
sameith2015_double,0.8500000000000001,0.9,448,0.0010086273662217899
sameith2015_double,0.9,0.9500000000000001,405,0.0009118171502674663
sameith2015_double,0.9500000000000001,1.0,358,0.0008060013328290196
sameith2015_double,1.0,1.05,342,0.0007699789268925272
sameith2015_double,1.05,1.1,278,0.0006258893031465571
sameith2015_double,1.1,1.1500000000000001,252,0.0005673528934997568
sameith2015_double,1.1500000000000001,1.2000000000000002,235,0.0005290790871922336
sameith2015_double,1.2000000000000002,1.25,246,0.0005538444912735721
sameith2015_double,1.25,1.3,178,0.00040074926604347907
sameith2015_double,1.3,1.35,182,0.0004097548675276022
sameith2015_double,1.35,1.4000000000000001,121,0.0002724194448947245
sameith2015_double,1.4000000000000001,1.4500000000000002,108,0.00024315124007132436
sameith2015_double,1.4500000000000002,1.5,97,0.00021838583598998576
sameith2015_double,1.5,1.55,112,0.00025215684155544747
sameith2015_double,1.55,1.6,87,0.00019587183227967795
sameith2015_double,1.6,1.6500000000000001,93,0.00020938023450586265
sameith2015_double,1.6500000000000001,1.7000000000000002,91,0.0002048774337638011
sameith2015_double,1.7000000000000002,1.75,86,0.00019362043190864717
sameith2015_double,1.75,1.8,72,0.00016210082671421625
sameith2015_double,1.8,1.85,66,0.00014859242448803155
sameith2015_double,1.85,1.9000000000000001,61,0.00013733542263287765
sameith2015_double,1.9000000000000001,1.9500000000000002,59,0.0001328326218908161
sameith2015_double,1.9500000000000002,2.0,58,0.00013058122151978532
sameith2015_double,2.0,2.0500000000000003,40,9.005601484123125e-05
sameith2015_double,2.0500000000000003,2.1,51,0.00011482141892256984
sameith2015_double,2.1,2.15,31,6.979341150195422e-05
sameith2015_double,2.15,2.2,35,7.879901298607734e-05
sameith2015_double,2.2,2.25,21,4.7279407791646404e-05
sameith2015_double,2.25,2.3000000000000003,23,5.178220853370797e-05
sameith2015_double,2.3000000000000003,2.35,28,6.303921038886187e-05
sameith2015_double,2.35,2.4000000000000004,22,4.953080816267718e-05
sameith2015_double,2.4000000000000004,2.45,22,4.953080816267718e-05
sameith2015_double,2.45,2.5,24,5.4033608904738746e-05
sameith2015_double,2.5,2.5500000000000003,17,3.8273806307523276e-05
sameith2015_double,2.5500000000000003,2.6,28,6.303921038886187e-05
sameith2015_double,2.6,2.6500000000000004,22,4.953080816267718e-05
sameith2015_double,2.6500000000000004,2.7,16,3.60224059364925e-05
sameith2015_double,2.7,2.75,12,2.7016804452369373e-05
sameith2015_double,2.75,2.8000000000000003,8,1.801120296824625e-05
sameith2015_double,2.8000000000000003,2.85,18,4.052520667855406e-05
sameith2015_double,2.85,2.9000000000000004,12,2.7016804452369373e-05
sameith2015_double,2.9000000000000004,2.95,15,3.377100556546172e-05
sameith2015_double,2.95,3.0,14,3.1519605194430934e-05
