gene,num_reactions,num_subsystems,num_metabolites,is_bottleneck,is_central_metabolism,is_metabolic_go,is_kinase,is_essential,is_low_fitness_kuzmin,is_low_fitness_costanzo,is_low_fitness_either,min_fitness_kuzmin,min_fitness_costanzo,subsystems,norm_reactions,norm_metabolites,norm_subsystems,metabolic_score,category_score,composite_score
YDR353W,1,1,4,False,False,False,False,True,False,False,False,,,Glutathione metabolism,0.005208333306206597,0.04444444395061729,0.09999999000000101,0.045416663507668126,1,0.13179166445536766
YMR272C,6,1,15,True,False,False,False,False,False,False,False,,,Sphingolipid metabolism,0.031249999837239584,0.16666666481481485,0.09999999000000101,0.2924999963793406,1,0.3047499974655384
YNL207W,0,0,0,False,False,False,True,True,False,False,False,,,,0.0,0.0,0.0,0.0,1,0.09999999999999999
YAR071W,1,1,4,False,False,False,False,False,False,False,False,,,Riboflavin metabolism,0.005208333306206597,0.04444444395061729,0.09999999000000101,0.045416663507668126,1,0.13179166445536766
YDR039C,1,1,7,False,False,False,False,False,False,False,False,,,"Transport [c, e]",0.005208333306206597,0.07777777691358026,0.09999999000000101,0.055416663396557014,1,0.13879166437758989
YMR281W,1,1,5,False,False,False,False,True,False,False,False,,,Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,0.005208333306206597,0.05555555493827161,0.09999999000000101,0.04874999680396443,1,0.1341249977627751
YBR274W,0,0,0,False,False,False,True,False,False,False,False,,,,0.0,0.0,0.0,0.0,1,0.09999999999999999
YGR062C,1,1,6,False,True,False,False,False,False,False,False,,,Oxidative phosphorylation,0.005208333306206597,0.06666666592592593,0.09999999000000101,0.15208333010026073,1,0.2064583310701825
YOR253W,1,1,4,True,False,False,False,False,False,False,False,,,Cysteine and methionine metabolism,0.005208333306206597,0.04444444395061729,0.09999999000000101,0.24541666350766814,1,0.2717916644553677
YPL160W,1,1,6,True,False,False,False,True,False,True,True,,0.3818,tRNA metabolism,0.005208333306206597,0.06666666592592593,0.09999999000000101,0.25208333010026074,1,0.2764583310701825
YNR057C,1,1,7,False,False,False,False,False,False,False,False,,,Biotin metabolism,0.005208333306206597,0.07777777691358026,0.09999999000000101,0.055416663396557014,1,0.13879166437758989
YIL043C,2,1,10,False,False,False,False,False,False,False,False,,,Amino sugar and nucleotide sugar metabolism,0.010416666612413195,0.11111110987654323,0.09999999000000101,0.06749999660792855,1,0.14724999762554997
YLR172C,1,1,5,True,False,False,False,False,False,False,False,,,Cysteine and methionine metabolism,0.005208333306206597,0.05555555493827161,0.09999999000000101,0.24874999680396442,1,0.2741249977627751
YGL148W,1,1,3,True,False,False,False,False,False,False,False,,,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.005208333306206597,0.03333333296296297,0.09999999000000101,0.24208333021137185,1,0.26945833114796025
YBR029C,14,1,34,False,False,False,False,True,False,False,False,,,Glycerophospholipid metabolism,0.07291666628689236,0.37777777358024694,0.09999999000000101,0.17249999558883133,1,0.22074999691218192
YKL024C,6,1,16,True,False,False,True,True,False,False,False,,,Pyrimidine metabolism,0.031249999837239584,0.17777777580246917,0.09999999000000101,0.2958333296756369,2,0.4070833307729458
YBR295W,1,1,7,True,False,False,False,False,False,False,False,,,"Transport [c, e]",0.005208333306206597,0.07777777691358026,0.09999999000000101,0.255416663396557,1,0.2787916643775899
YJR024C,1,1,3,True,False,False,False,False,False,False,False,,,Cysteine and methionine metabolism,0.005208333306206597,0.03333333296296297,0.09999999000000101,0.24208333021137185,1,0.26945833114796025
